Unnamed: 0,PROVINSI,Luas_Perkebunan_Sawit,Produksi_Sawit,Produktivitas_Sawit,Intensitas_Deforestasi,Produksi_per_Deforestasi,Kategori_Deforestasi,Pulau,Ada_Perkebunan_Sawit,Ada_Produksi_Sawit,Ada_Deforestasi,Deforestasi_Tinggi_Tanpa_Perkebunan,Deforestasi_Score,Luas_Perkebunan_Score,Produksi_Score,Rank_Deforestasi,Rank_Luas_Perkebunan,Rank_Produksi,Rank_Produktivitas,Total_Deforestasi
0,ACEH,351923.0,106053,0.3013528527547219,0.0318492965790812,9.46183699870634,Sangat Tinggi,SUMATERA,1,1,1,0,37.851053033078045,15.17320205641872,12.516109388055686,4,11,8,13,11208.5
1,BALI,0.0,0,0.0,0.0,0.0,Tidak Ada,BALI & NUSA TENGGARA,0,0,0,0,0.1841589681720878,0.0,0.0,32,27,27,27,0.0
2,BANTEN,15696.0,3477,0.2215214067278287,0.0081613149847094,27.142857142857142,Rendah,JAWA,1,1,1,0,0.6146473590999062,0.6767349092771664,0.4103468298140516,29,21,20,18,128.1
3,BENGKULU,361069.0,130576,0.3616372493900058,0.0135001897144313,26.787567955687763,Tinggi,SUMATERA,1,1,1,0,16.56523360968381,15.567532935639475,15.41025241581812,15,10,7,9,4874.5
4,DI YOGYAKARTA,0.0,0,0.0,0.0,0.0,Rendah,LAINNYA,0,0,1,0,0.2755663392356058,0.0,0.0,31,27,27,27,27.2
5,DKI JAKARTA,0.0,0,0.0,0.0,0.0,Rendah,JAWA,0,0,0,0,0.1750854423679886,0.0,0.0,33,27,27,27,-2.7
6,GORONTALO,13853.0,275,0.0198512957482133,0.1202483216631776,0.1650858446392124,Sedang,SULAWESI,1,1,1,0,5.782188332790042,0.5972737447895379,0.0324548111011976,21,23,26,25,1665.8
7,JAMBI,789512.0,223323,0.2828620717607839,0.0105009170221605,26.9368923841459,Sangat Tinggi,SUMATERA,1,1,1,0,28.045260090936896,34.03990390502256,26.35602101655549,6,7,5,16,8290.6
8,JAWA BARAT,14656.0,4349,0.2967385371179039,0.01180403930131,25.13872832369942,Rendah,JAWA,1,1,1,0,0.7655367326569638,0.6318951854208812,0.5132580853785765,28,22,19,14,173.0
9,JAWA TENGAH,0.0,0,0.0,0.0,0.0,Rendah,JAWA,0,0,0,0,0.0,0.0,0.0,34,27,27,27,-54.8
10,JAWA TIMUR,0.0,0,0.0,0.0,0.0,Sedang,JAWA,0,0,1,0,3.2617644983180374,0.0,0.0,24,27,27,27,915.8
11,KALIMANTAN BARAT,1823474.0,54374,0.0298189061099856,0.0048691124743209,6.1240947435998505,Sangat Tinggi,KALIMANTAN,1,1,1,0,30.021608433674214,78.61929867222679,6.417083268423711,5,3,13,24,8878.7
12,KALIMANTAN SELATAN,456109.0,133799,0.2933487390075618,0.0089899563481536,32.630718954248366,Sedang,KALIMANTAN,1,1,1,0,13.963820155997434,19.665193854198463,15.790622801924156,18,8,6,15,4100.4
13,KALIMANTAN TENGAH,1912526.0,847332,0.4430433886911864,0.0083942911102907,52.77913082476346,Sangat Tinggi,KALIMANTAN,1,1,1,0,54.1356794558573,82.4587862576594,100.0,3,2,1,4,16054.3
14,KALIMANTAN TIMUR,1191085.0,394415,0.3311392553847962,0.0161254654369755,20.535175042172565,Sangat Tinggi,KALIMANTAN,1,1,1,0,64.7298609734213,51.35377162438798,46.54787025628679,2,4,4,11,19206.8
15,KALIMANTAN UTARA,201806.0,62564,0.3100205147517913,0.0260458063684925,11.902895628020245,Tinggi,KALIMANTAN,1,1,1,0,17.847961313174427,8.700889723597594,7.3836465517648335,14,12,12,12,5256.2
