,PROVINSI,Luas_Perkebunan_Sawit,Produksi_Sawit,Total_Deforestasi
0,ACEH,351923.0,106053,11208.5
1,BALI,0.0,0,0.0
2,BANTEN,15696.0,3477,128.1
3,BENGKULU,361069.0,130576,4874.5
4,DI YOGYAKARTA,0.0,0,27.2
5,DKI JAKARTA,0.0,0,-2.7
6,GORONTALO,13853.0,275,1665.8
7,JAMBI,789512.0,223323,8290.6
8,JAWA BARAT,14656.0,4349,173.0
9,JAWA TENGAH,0.0,0,-54.8
10,JAWA TIMUR,0.0,0,915.8
11,KALIMANTAN BARAT,1823474.0,54374,8878.7
12,KALIMANTAN SELATAN,456109.0,133799,4100.4
13,KALIMANTAN TENGAH,1912526.0,847332,16054.3
14,KALIMANTAN TIMUR,1191085.0,394415,19206.8
15,KALIMANTAN UTARA,201806.0,62564,5256.2
16,KEPULAUAN BANGKA BELITUNG,199606.0,88892,5664.1
17,KEPULAUAN RIAU,6427.0,2355,381.4
18,LAMPUNG,178819.0,45974,213.2
19,MALUKU,9769.0,2083,666.5
20,MALUKU UTARA,5695.0,2352,1357.9
21,NUSA TENGGARA BARAT,0.0,0,2139.1
22,NUSA TENGGARA TIMUR,0.0,0,1120.0
23,PAPUA,125311.0,63481,6114.8
24,PAPUA BARAT,57767.0,8153,4125.3
25,RIAU,2319372.0,93676,29702.1
26,SULAWESI BARAT,109306.0,38545,6824.3
27,SULAWESI SELATAN,31690.0,1330,5809.6
28,SULAWESI TENGAH,122779.0,44546,4871.2
29,SULAWESI TENGGARA,51096.0,745,7925.9
30,SULAWESI UTARA,0.0,0,103.8
31,SUMATERA BARAT,364078.0,14034,6634.2
32,SUMATERA SELATAN,996511.0,395137,4027.1
33,SUMATERA UTARA,1138864.0,505715,7034.9
