,PROVINSI,Total_Deforestasi,Luas_Perkebunan_Rakyat,Luas_Perkebunan_Negara,Luas_Perkebunan_Swasta,Produksi_Sawit
0,ACEH,11208.5,178592,27724,145607,106053
1,BALI,0.0,0,0,0,0
2,BANTEN,128.1,3782,10324,1590,3477
3,BENGKULU,4874.5,272649,857,87563,130576
4,DI YOGYAKARTA,27.2,0,0,0,0
5,DKI JAKARTA,-2.7,0,0,0,0
6,GORONTALO,1665.8,2754,0,11099,275
7,JAMBI,8290.6,531415,18257,239839,223323
8,JAWA BARAT,173.0,184,10503,3969,4349
9,JAWA TENGAH,-54.8,0,0,0,0
10,JAWA TIMUR,915.8,0,0,0,0
11,KALIMANTAN BARAT,8878.7,486739,15579,1321156,54374
12,KALIMANTAN SELATAN,4100.4,88883,5553,361673,133799
13,KALIMANTAN TENGAH,16054.3,295775,0,1616751,847332
14,KALIMANTAN TIMUR,19206.8,145085,10125,1035874,394415
15,KALIMANTAN UTARA,5256.2,28053,0,173753,62564
16,KEPULAUAN BANGKA BELITUNG,5664.1,64513,0,135093,88892
17,KEPULAUAN RIAU,381.4,689,0,5738,2355
18,LAMPUNG,213.2,92107,7849,78864,45974
19,MALUKU,666.5,354,0,9414,2083
20,MALUKU UTARA,1357.9,0,0,5695,2352
21,NUSA TENGGARA BARAT,2139.1,0,0,0,0
22,NUSA TENGGARA TIMUR,1120.0,0,0,0,0
23,PAPUA,6114.8,10832,0,114480,63481
24,PAPUA BARAT,4125.3,21335,0,36433,8153
25,RIAU,29702.1,1352806,73517,893050,93676
26,SULAWESI BARAT,6824.3,73641,0,35666,38545
27,SULAWESI SELATAN,5809.6,25646,5181,862,1330
28,SULAWESI TENGAH,4871.2,45113,0,77666,44546
29,SULAWESI TENGGARA,7925.9,3851,954,46291,745
30,SULAWESI UTARA,103.8,0,0,0,0
31,SUMATERA BARAT,6634.2,187227,7499,169352,14034
32,SUMATERA SELATAN,4027.1,429963,24355,542193,395137
33,SUMATERA UTARA,7034.9,412544,261694,464627,505715
