Unnamed: 0,PROVINSI,Total_Deforestasi,Luas_Perkebunan_Rakyat,Luas_Perkebunan_Negara,Luas_Perkebunan_Swasta,Produksi_Sawit,Total_Luas,Produktivitas_Sawit,Produktivitas_Rakyat_per_Ha,Produktivitas_Negara_per_Ha,Produktivitas_Swasta_per_Ha,Intensitas_Deforestasi,Produksi_per_Deforestasi,Proporsi_Luas_Perkebunan_Rakyat%,Proporsi_Luas_Perkebunan_Negara%,Proporsi_Luas_Perkebunan_Swasta%,Status_Dominan,Kategori_Deforestasi,Kategori_Luas,Kategori_Produktivitas,Pulau,Ada_Perkebunan,Ada_Produksi,Ada_Deforestasi,Deforestasi_Tinggi_Produktif,Rakyat_Dominan,Swasta_Dominan,Deforestasi_Score,Luas_Score,Produksi_Score,Produktivitas_Score,Impact_Score,Rank_Deforestasi,Rank_Luas,Rank_Produksi,Rank_Produktivitas,Deforestasi_x_Luas_Perkebunan_Rakyat,Deforestasi_x_Luas_Perkebunan_Negara,Deforestasi_x_Luas_Perkebunan_Swasta,Rasio_Produktivitas_Rakyat_Swasta,Rasio_Produktivitas_Rakyat_Negara,Rasio_Produktivitas_Negara_Swasta
0,ACEH,11208.5,178592,27724,145607,106053,351923,0.3013528527547219,0.5938283909693604,3.825313807531381,0.7283509721373286,0.03184929657908122,9.461836998706339,50.75,7.88,41.37,Rakyat,Sangat Tinggi,Besar,Rendah,SUMATERA,1,1,1,1,1,0,37.85,15.17,12.52,59.49,23.45,4,11,8,13,5688.31375,883.2298,4636.95645,0.815305276832109,0.15523651675327002,5.252019910546819
1,BALI,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Produktif,BALI & NUSA TENGGARA,0,0,0,0,0,0,0.18,0.0,0.0,0.0,0.07,32,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0
2,BANTEN,128.1,3782,10324,1590,3477,15696,0.22152140672782875,0.9193548387096774,0.3367880666408369,2.1867924528301885,0.00816131498470948,27.142857142857142,24.1,65.77,10.13,Negara,Rendah,Sedang,Rendah,JAWA,1,1,1,0,0,0,0.61,0.68,0.41,43.73,0.57,29,21,20,18,30.8721,84.25137,12.97653,0.42041248016922267,2.729772607086198,0.15401007361487795
3,BENGKULU,4874.5,272649,857,87563,130576,361069,0.3616372493900058,0.47891611559184155,152.36406067677947,1.4912234619645284,0.013500189714431314,26.787567955687763,75.51,0.24,24.25,Rakyat,Tinggi,Besar,Rendah,SUMATERA,1,1,1,1,1,0,16.57,15.57,15.41,71.39,15.92,15,10,7,9,3680.7349500000005,11.698799999999999,1182.06625,0.32115650525034023,0.00314323544190516,102.17386231038508
4,DI YOGYAKARTA,27.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Rendah,Tidak Ada,Tidak Produktif,JAWA,0,0,1,0,0,0,0.28,0.0,0.0,0.0,0.11,31,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0
5,DKI JAKARTA,-2.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Rendah,Tidak Ada,Tidak Produktif,JAWA,0,0,0,0,0,0,0.18,0.0,0.0,0.0,0.07,33,27,27,27,-0.0,-0.0,-0.0,0.0,0.0,0.0
6,GORONTALO,1665.8,2754,0,11099,275,13853,0.019851295748213385,0.09985475671750181,0.0,0.024777006937561942,0.12024832166317764,0.1650858446392124,19.88,0.0,80.12,Swasta,Sedang,Sedang,Rendah,SULAWESI,1,1,1,0,0,1,5.78,0.6,0.03,3.92,2.5,21,23,26,25,331.16104,0.0,1334.63896,4.030137981118373,0.0,0.0
7,JAMBI,8290.6,531415,18257,239839,223323,789511,0.28286243003580697,0.42024218360415116,12.232184915374924,0.9311371378299609,0.010500930322693414,26.9368923841459,67.31,2.31,30.38,Rakyat,Sangat Tinggi,Besar,Rendah,SUMATERA,1,1,1,1,1,0,28.05,34.04,26.36,55.84,29.34,6,7,5,16,5580.402860000001,191.51286,2518.68428,0.45132147191930977,0.03435544724932491,13.136824231801501
8,JAWA BARAT,173.0,184,10503,3969,4349,14656,0.29673853711790393,23.63586956521739,0.4140721698562316,1.0957420005039054,0.011804039301310043,25.13872832369942,1.26,71.66,27.08,Negara,Rendah,Sedang,Rendah,JAWA,1,1,1,0,0,0,0.77,0.63,0.51,58.58,0.65,28,22,19,14,2.1797999999999997,123.9718,46.8484,21.57065217391304,57.08152173913043,0.37789203084832906
9,JAWA TENGAH,-54.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Rendah,Tidak Ada,Tidak Produktif,JAWA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,34,27,27,27,-0.0,-0.0,-0.0,0.0,0.0,0.0
10,JAWA TIMUR,915.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Sedang,Tidak Ada,Tidak Produktif,JAWA,0,0,1,0,0,0,3.26,0.0,0.0,0.0,1.3,24,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0
11,KALIMANTAN BARAT,8878.7,486739,15579,1321156,54374,1823474,0.029818906109985666,0.111710793669708,3.4902111817189807,0.041156381229771506,0.004869112474320994,6.1240947435998505,26.69,0.85,72.45,Swasta,Sangat Tinggi,Besar,Rendah,KALIMANTAN,1,1,1,0,0,1,30.02,78.62,6.42,5.89,37.52,5,3,13,24,2369.72503,75.46895,6432.61815,2.714300682706748,0.03200688664766949,84.8036459336286
12,KALIMANTAN SELATAN,4100.4,88883,5553,361673,133799,456109,0.2933487390075618,1.505338478674212,24.094903655681613,0.36994467377990614,0.00898995634815362,32.630718954248366,19.49,1.22,79.3,Swasta,Sedang,Besar,Rendah,KALIMANTAN,1,1,1,0,0,1,13.96,19.67,15.79,57.91,16.22,18,8,6,15,799.1679599999999,50.024879999999996,3251.6171999999997,4.069090827267306,0.06247538899452089,65.13110030614082
13,KALIMANTAN TENGAH,16054.3,295775,0,1616751,847332,1912526,0.4430433886911864,2.8647857323979378,0.0,0.5240955471807347,0.008394291110290789,52.77913082476346,15.47,0.0,84.53,Swasta,Sangat Tinggi,Besar,Rendah,KALIMANTAN,1,1,1,1,0,1,54.14,82.46,100.0,87.46,76.39,3,2,1,4,2483.60021,0.0,13570.69979,5.466151635533768,0.0,0.0
14,KALIMANTAN TIMUR,19206.8,145085,10125,1035874,394415,1191084,0.3311395333998274,2.7185098390598617,38.95456790123457,0.38075576759335594,0.016125478975454292,20.535175042172565,12.18,0.85,86.97,Swasta,Sangat Tinggi,Besar,Rendah,KALIMANTAN,1,1,1,1,0,1,64.73,51.35,46.55,65.37,55.26,2,4,4,11,2339.3882399999998,163.25779999999997,16704.15396,7.139773236378675,0.06978667677568322,102.30854320987655
15,KALIMANTAN UTARA,5256.2,28053,0,173753,62564,201806,0.3100205147517913,2.230207107974192,0.0,0.3600743584283437,0.026045806368492512,11.902895628020243,13.9,0.0,86.1,Swasta,Tinggi,Sedang,Rendah,KALIMANTAN,1,1,1,1,0,1,17.85,8.7,7.38,61.2,11.96,14,12,12,12,730.6117999999999,0.0,4525.588199999999,6.193740419919439,0.0,0.0
16,KEPULAUAN BANGKA BELITUNG,5664.1,64513,0,135093,88892,199606,0.44533731450958386,1.3778928278021485,0.0,0.65800596626028,0.028376401510976625,15.693931957416005,32.32,0.0,67.68,Swasta,Tinggi,Sedang,Rendah,SUMATERA,1,1,1,1,0,1,19.22,8.61,10.49,87.91,13.42,13,13,10,2,1830.63712,0.0,3833.4628800000005,2.094043061088463,0.0,0.0
