PROVINSI,Luas_Perkebunan_Rakyat,Produksi_Perkebunan_Rakyat,Luas_Perkebunan_Negara,Produksi_Perkebunan_Negara,Luas_Perkebunan_Swasta,Produksi_Perkebunan_Swasta,Jumlah_Luas,Jumlah_Produksi
ACEH,178592,483586,27724,86707,145607,457558,351923,1027852
SUMATERA UTARA,412544,1765393,261694,1424158,464627,1946299,1138864,5135851
SUMATERA BARAT,187227,736403,7499,31227,169352,675372,364078,1443002
RIAU,1352806,4911523,73517,423568,893050,3603618,2319372,8938709
KEPULAUAN RIAU,689,1562,0,0,5738,18242,6427,19805
JAMBI,531415,1615618,18257,75076,239839,885672,789512,2576366
SUMATERA SELATAN,429963,1820317,24355,92653,542193,2267465,996511,4180436
KEP. BANGKA BELITUNG,64513,217607,0,0,135093,618271,199606,835877
BENGKULU,272649,584682,857,3065,87563,286656,361069,874403
LAMPUNG,92107,214468,7849,34366,78864,240713,178819,489546
DKI. JAKARTA,0,0,0,0,0,0,0,0
JAWA BARAT,184,388,10503,29442,3969,5675,14656,35505
BANTEN,3782,3283,10324,25235,1590,2179,15696,30697
JAWA TENGAH,0,0,0,0,0,0,0,0
DI. YOGYAKARTA,0,0,0,0,0,0,0,0
JAWA TIMUR,0,0,0,0,0,0,0,0
BALI,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,0,0,0,0,0,0,0,0
NUSA TENGGARA TIMUR,0,0,0,0,0,0,0,0
KALIMANTAN BARAT,486739,1295753,15579,49482,1321156,4008427,1823474,5353663
KALIMANTAN TENGAH,295775,1051505,0,0,1616751,7591003,1912526,8642508
KALIMANTAN SELATAN,88883,257902,5553,15189,361673,1074742,456109,1347833
KALIMANTAN TIMUR,145085,965599,10125,27724,1035874,3274918,1191085,4268240
KALIMANTAN UTARA,28053,77190,0,0,173753,545000,201806,622190
SULAWESI UTARA,0,0,0,0,0,0,0,0
GORONTALO,2754,4338,0,0,11099,11951,13853,16289
SULAWESI TENGAH,45113,141720,0,0,77666,305808,122779,447528
SULAWESI SELATAN,25646,88878,5181,19568,862,3931,31690,112378
SULAWESI BARAT,73641,322093,0,0,35666,133385,109306,455478
SULAWESI TENGGARA,3851,8821,954,1421,46291,67242,51096,77484
MALUKU,354,332,0,0,9414,20463,9769,20795
MALUKU UTARA,0,0,0,0,5695,20234,5695,20234
PAPUA,10832,23636,0,0,114480,602315,125311,625952
PAPUA BARAT,21335,22825,0,0,36433,73197,57767,96022
