PROVINSI,Luas_Perkebunan_Rakyat,Luas_Perkebunan_Negara,Luas_Perkebunan_Swasta,Produksi_Sawit,Total_Deforestasi
ACEH,178592.0,27724.0,145607.0,106053,11208.5
BALI,0.0,0.0,0.0,0,0.0
BANTEN,3782.0,10324.0,1590.0,3477,128.1
BENGKULU,272649.0,857.0,87563.0,130576,4874.5
DI YOGYAKARTA,0.0,0.0,0.0,0,27.2
DKI JAKARTA,0.0,0.0,0.0,0,-2.7
GORONTALO,2754.0,0.0,11099.0,275,1665.8
JAMBI,531415.0,18257.0,239839.0,223323,8290.6
JAWA BARAT,184.0,10503.0,3969.0,4349,173.0
JAWA TENGAH,0.0,0.0,0.0,0,-54.8
JAWA TIMUR,0.0,0.0,0.0,0,915.8
KALIMANTAN BARAT,486739.0,15579.0,1321156.0,54374,8878.7
KALIMANTAN SELATAN,88883.0,5553.0,361673.0,133799,4100.4
KALIMANTAN TENGAH,295775.0,0.0,1616751.0,847332,16054.3
KALIMANTAN TIMUR,145085.0,10125.0,1035874.0,394415,19206.8
KALIMANTAN UTARA,28053.0,0.0,173753.0,62564,5256.2
KEPULAUAN BANGKA BELITUNG,64513.0,0.0,135093.0,88892,5664.1
KEPULAUAN RIAU,689.0,0.0,5738.0,2355,381.4
LAMPUNG,92107.0,7849.0,78864.0,45974,213.2
MALUKU,354.0,0.0,9414.0,2083,666.5
MALUKU UTARA,0.0,0.0,5695.0,2352,1357.9
NUSA TENGGARA BARAT,0.0,0.0,0.0,0,2139.1
NUSA TENGGARA TIMUR,0.0,0.0,0.0,0,1120.0
PAPUA,10832.0,0.0,114480.0,11443,502.7
PAPUA BARAT,21335.0,0.0,36433.0,2509,376.6
PAPUA BARAT DAYA,0.0,0.0,0.0,5644,3748.7
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0,255.3
PAPUA SELATAN,0.0,0.0,0.0,48336,4938.8
PAPUA TENGAH,0.0,0.0,0.0,3702,418.0
RIAU,1352806.0,73517.0,893050.0,93676,29702.1
SULAWESI BARAT,73641.0,0.0,35666.0,38545,6824.3
SULAWESI SELATAN,25646.0,5181.0,862.0,1330,5809.6
SULAWESI TENGAH,45113.0,0.0,77666.0,44546,4871.2
SULAWESI TENGGARA,3851.0,954.0,46291.0,745,7925.9
SULAWESI UTARA,0.0,0.0,0.0,0,103.8
SUMATERA BARAT,187227.0,7499.0,169352.0,14034,6634.2
SUMATERA SELATAN,429963.0,24355.0,542193.0,395137,4027.1
SUMATERA UTARA,412544.0,261694.0,464627.0,505715,7034.9
